date,channel,campaign,sessions,users,new_users,conversions,revenue,bounce_rate,engagement_rate
2025-01-01,Organic Search,Spring Launch,1200,864,612,34,2924,0.58,0.42
2025-01-02,Paid Search,Brand Always On,1258,906,642,37,3330,0.568,0.434
2025-01-03,Email,Product Education,1316,948,671,40,3760,0.556,0.448
2025-01-04,Social,Retargeting,1374,989,701,43,4214,0.544,0.462
2025-01-05,Organic Search,Spring Launch,1432,1031,730,46,4692,0.532,0.476
2025-01-06,Paid Search,Brand Always On,1255,904,640,49,5194,0.52,0.49
2025-01-07,Email,Product Education,1313,945,670,52,5720,0.508,0.504
2025-01-08,Social,Retargeting,1371,987,699,55,4730,0.496,0.42
2025-01-09,Organic Search,Spring Launch,1429,1029,729,58,5220,0.58,0.434
2025-01-10,Paid Search,Brand Always On,1487,1071,758,34,3196,0.568,0.448
2025-01-11,Email,Product Education,1310,943,668,37,3626,0.556,0.462
2025-01-12,Social,Retargeting,1368,985,698,40,4080,0.544,0.476
2025-01-13,Organic Search,Spring Launch,1426,1027,727,43,4558,0.532,0.49
2025-01-14,Paid Search,Brand Always On,1484,1068,757,46,5060,0.52,0.504
2025-01-15,Email,Product Education,1542,1110,786,49,4214,0.508,0.42
2025-01-16,Social,Retargeting,1365,983,696,52,4680,0.496,0.434
2025-01-17,Organic Search,Spring Launch,1423,1025,726,55,5170,0.58,0.448
2025-01-18,Paid Search,Brand Always On,1481,1066,755,58,5684,0.568,0.462
2025-01-19,Email,Product Education,1539,1108,785,34,3468,0.556,0.476
2025-01-20,Social,Retargeting,1597,1150,814,37,3922,0.544,0.49
2025-01-21,Organic Search,Spring Launch,1420,1022,724,40,4400,0.532,0.504
2025-01-22,Paid Search,Brand Always On,1478,1064,754,43,3698,0.52,0.42
2025-01-23,Email,Product Education,1536,1106,783,46,4140,0.508,0.434
2025-01-24,Social,Retargeting,1594,1148,813,49,4606,0.496,0.448
2025-01-25,Organic Search,Spring Launch,1652,1189,843,52,5096,0.58,0.462
