created_date,lifecycle_stage,lead_source,deal_stage,industry,company_count,contact_count,deal_count,deal_amount,closed_won_amount,sales_activities,conversion_rate
2025-01-01,Lead,Organic Search,Marketing Qualified,SaaS,12,48,8,19200,3456.0,75,0.08
2025-01-02,Marketing Qualified,Paid Search,Sales Qualified,Retail,13,51,9,25650,5514.75,82,0.092
2025-01-03,Sales Qualified,Referral,Opportunity,Healthcare,14,54,10,33000,8250.0,89,0.104
2025-01-04,Opportunity,Partner,Customer,Construction,15,57,11,41250,11756.25,96,0.116
2025-01-05,Customer,Event,Lead,Agency,16,60,12,50400,16128.0,103,0.128
2025-01-06,Lead,Organic Search,Marketing Qualified,SaaS,17,63,13,60450,10881.0,110,0.14
2025-01-07,Marketing Qualified,Paid Search,Sales Qualified,Retail,18,66,14,33600,7224.0,117,0.152
2025-01-08,Sales Qualified,Referral,Opportunity,Healthcare,19,69,8,22800,5700.0,124,0.164
2025-01-09,Opportunity,Partner,Customer,Construction,20,72,9,29700,8464.5,131,0.08
2025-01-10,Customer,Event,Lead,Agency,12,75,10,37500,12000.0,138,0.092
2025-01-11,Lead,Organic Search,Marketing Qualified,SaaS,13,78,11,46200,8316.0,145,0.104
2025-01-12,Marketing Qualified,Paid Search,Sales Qualified,Retail,14,70,12,55800,11997.0,152,0.116
2025-01-13,Sales Qualified,Referral,Opportunity,Healthcare,15,73,13,31200,7800.0,159,0.128
2025-01-14,Opportunity,Partner,Customer,Construction,16,76,14,39900,11371.5,114,0.14
2025-01-15,Customer,Event,Lead,Agency,17,79,8,26400,8448.0,121,0.152
2025-01-16,Lead,Organic Search,Marketing Qualified,SaaS,18,82,9,33750,6075.0,128,0.164
2025-01-17,Marketing Qualified,Paid Search,Sales Qualified,Retail,19,85,10,42000,9030.0,135,0.08
2025-01-18,Sales Qualified,Referral,Opportunity,Healthcare,20,88,11,51150,12787.5,142,0.092
2025-01-19,Opportunity,Partner,Customer,Construction,12,91,12,28800,8208.0,149,0.104
2025-01-20,Customer,Event,Lead,Agency,13,94,13,37050,11856.0,156,0.116
2025-01-21,Lead,Organic Search,Marketing Qualified,SaaS,14,97,14,46200,8316.0,163,0.128
2025-01-22,Marketing Qualified,Paid Search,Sales Qualified,Retail,15,100,8,30000,6450.0,170,0.14
2025-01-23,Sales Qualified,Referral,Opportunity,Healthcare,16,92,9,37800,9450.0,177,0.152
2025-01-24,Opportunity,Partner,Customer,Construction,17,95,10,46500,13252.5,184,0.164
2025-01-25,Customer,Event,Lead,Agency,18,98,11,26400,8448.0,191,0.08
2025-01-26,Lead,Organic Search,Marketing Qualified,SaaS,19,101,12,34200,6156.0,198,0.092
2025-01-27,Marketing Qualified,Paid Search,Sales Qualified,Retail,20,104,13,42900,9223.5,153,0.104
2025-01-28,Sales Qualified,Referral,Opportunity,Healthcare,12,107,14,52500,13125.0,160,0.116
2025-01-29,Opportunity,Partner,Customer,Construction,13,110,8,33600,9576.0,167,0.128
2025-01-30,Customer,Event,Lead,Agency,14,113,9,41850,13392.0,174,0.14
2025-01-31,Lead,Organic Search,Marketing Qualified,SaaS,15,116,10,24000,4320.0,181,0.152
2025-02-01,Marketing Qualified,Paid Search,Sales Qualified,Retail,16,119,11,31350,6740.25,188,0.164
2025-02-02,Sales Qualified,Referral,Opportunity,Healthcare,17,122,12,39600,9900.0,195,0.08
2025-02-03,Opportunity,Partner,Customer,Construction,18,114,13,48750,13893.75,202,0.092
2025-02-04,Customer,Event,Lead,Agency,19,117,14,58800,18816.0,209,0.104
2025-02-05,Lead,Organic Search,Marketing Qualified,SaaS,20,120,8,37200,6696.0,216,0.116
2025-02-06,Marketing Qualified,Paid Search,Sales Qualified,Retail,12,123,9,21600,4644.0,223,0.128
2025-02-07,Sales Qualified,Referral,Opportunity,Healthcare,13,126,10,28500,7125.0,230,0.14
2025-02-08,Opportunity,Partner,Customer,Construction,14,129,11,36300,10345.5,237,0.152
2025-02-09,Customer,Event,Lead,Agency,15,132,12,45000,14400.0,192,0.164
2025-02-10,Lead,Organic Search,Marketing Qualified,SaaS,16,135,13,54600,9828.0,199,0.08
2025-02-11,Marketing Qualified,Paid Search,Sales Qualified,Retail,17,138,14,65100,13996.5,206,0.092
2025-02-12,Sales Qualified,Referral,Opportunity,Healthcare,18,141,8,19200,4800.0,213,0.104
2025-02-13,Opportunity,Partner,Customer,Construction,19,144,9,25650,7310.25,220,0.116
2025-02-14,Customer,Event,Lead,Agency,20,136,10,33000,10560.0,227,0.128
2025-02-15,Lead,Organic Search,Marketing Qualified,SaaS,12,139,11,41250,7425.0,234,0.14
2025-02-16,Marketing Qualified,Paid Search,Sales Qualified,Retail,13,142,12,50400,10836.0,241,0.152
2025-02-17,Sales Qualified,Referral,Opportunity,Healthcare,14,145,13,60450,15112.5,248,0.164
2025-02-18,Opportunity,Partner,Customer,Construction,15,148,14,33600,9576.0,255,0.08
2025-02-19,Customer,Event,Lead,Agency,16,151,8,22800,7296.0,262,0.092
2025-02-20,Lead,Organic Search,Marketing Qualified,SaaS,17,154,9,29700,5346.0,269,0.104
2025-02-21,Marketing Qualified,Paid Search,Sales Qualified,Retail,18,157,10,37500,8062.5,276,0.116
2025-02-22,Sales Qualified,Referral,Opportunity,Healthcare,19,160,11,46200,11550.0,231,0.128
2025-02-23,Opportunity,Partner,Customer,Construction,20,163,12,55800,15903.0,238,0.14
2025-02-24,Customer,Event,Lead,Agency,12,166,13,31200,9984.0,245,0.152
2025-02-25,Lead,Organic Search,Marketing Qualified,SaaS,13,158,14,39900,7182.0,252,0.164
2025-02-26,Marketing Qualified,Paid Search,Sales Qualified,Retail,14,161,8,26400,5676.0,259,0.08
2025-02-27,Sales Qualified,Referral,Opportunity,Healthcare,15,164,9,33750,8437.5,266,0.092
2025-02-28,Opportunity,Partner,Customer,Construction,16,167,10,42000,11970.0,273,0.104
2025-03-01,Customer,Event,Lead,Agency,17,170,11,51150,16368.0,280,0.116
2025-03-02,Lead,Organic Search,Marketing Qualified,SaaS,18,173,12,28800,5184.0,287,0.128
2025-03-03,Marketing Qualified,Paid Search,Sales Qualified,Retail,19,176,13,37050,7965.75,294,0.14
2025-03-04,Sales Qualified,Referral,Opportunity,Healthcare,20,179,14,46200,11550.0,301,0.152
2025-03-05,Opportunity,Partner,Customer,Construction,12,182,8,30000,8550.0,308,0.164
2025-03-06,Customer,Event,Lead,Agency,13,185,9,37800,12096.0,315,0.08
2025-03-07,Lead,Organic Search,Marketing Qualified,SaaS,14,188,10,46500,8370.0,270,0.092
2025-03-08,Marketing Qualified,Paid Search,Sales Qualified,Retail,15,180,11,26400,5676.0,277,0.104
2025-03-09,Sales Qualified,Referral,Opportunity,Healthcare,16,183,12,34200,8550.0,284,0.116
2025-03-10,Opportunity,Partner,Customer,Construction,17,186,13,42900,12226.5,291,0.128
2025-03-11,Customer,Event,Lead,Agency,18,189,14,52500,16800.0,298,0.14
2025-03-12,Lead,Organic Search,Marketing Qualified,SaaS,19,192,8,33600,6048.0,305,0.152
2025-03-13,Marketing Qualified,Paid Search,Sales Qualified,Retail,20,195,9,41850,8997.75,312,0.164
2025-03-14,Sales Qualified,Referral,Opportunity,Healthcare,12,198,10,24000,6000.0,319,0.08
2025-03-15,Opportunity,Partner,Customer,Construction,13,201,11,31350,8934.75,326,0.092
2025-03-16,Customer,Event,Lead,Agency,14,204,12,39600,12672.0,333,0.104
2025-03-17,Lead,Organic Search,Marketing Qualified,SaaS,15,207,13,48750,8775.0,340,0.116
2025-03-18,Marketing Qualified,Paid Search,Sales Qualified,Retail,16,210,14,58800,12642.0,347,0.128
2025-03-19,Sales Qualified,Referral,Opportunity,Healthcare,17,202,8,37200,9300.0,354,0.14
2025-03-20,Opportunity,Partner,Customer,Construction,18,205,9,21600,6156.0,309,0.152
2025-03-21,Customer,Event,Lead,Agency,19,208,10,28500,9120.0,316,0.164
2025-03-22,Lead,Organic Search,Marketing Qualified,SaaS,20,211,11,36300,6534.0,323,0.08
2025-03-23,Marketing Qualified,Paid Search,Sales Qualified,Retail,12,214,12,45000,9675.0,330,0.092
2025-03-24,Sales Qualified,Referral,Opportunity,Healthcare,13,217,13,54600,13650.0,337,0.104
2025-03-25,Opportunity,Partner,Customer,Construction,14,220,14,65100,18553.5,344,0.116
2025-03-26,Customer,Event,Lead,Agency,15,223,8,19200,6144.0,351,0.128
2025-03-27,Lead,Organic Search,Marketing Qualified,SaaS,16,226,9,25650,4617.0,358,0.14
2025-03-28,Marketing Qualified,Paid Search,Sales Qualified,Retail,17,229,10,33000,7095.0,365,0.152
2025-03-29,Sales Qualified,Referral,Opportunity,Healthcare,18,232,11,41250,10312.5,372,0.164
2025-03-30,Opportunity,Partner,Customer,Construction,19,224,12,50400,14364.0,379,0.08
2025-03-31,Customer,Event,Lead,Agency,20,227,13,60450,19344.0,386,0.092
2025-04-01,Lead,Organic Search,Marketing Qualified,SaaS,12,230,14,33600,6048.0,393,0.104
2025-04-02,Marketing Qualified,Paid Search,Sales Qualified,Retail,13,233,8,22800,4902.0,348,0.116
2025-04-03,Sales Qualified,Referral,Opportunity,Healthcare,14,236,9,29700,7425.0,355,0.128
