date,product_category,product,sales_channel,order_status,orders,units_sold,gross_sales,discounts,returns,net_sales
2025-01-01,Apparel,Everyday Kit,Online Store,paid,42,50,2400,96.0,0,2304.0
2025-01-02,Home,Premium Bundle,Shop App,paid,43,52,2808,140.4,1,2667.6
2025-01-03,Beauty,Starter Pack,Social,fulfilled,44,54,3240,194.4,2,3045.6
2025-01-04,Electronics,Seasonal Set,Wholesale,refunded,45,56,3696,147.84,3,3548.16
2025-01-05,Apparel,Everyday Kit,Online Store,paid,46,58,4176,208.8,0,3967.2
2025-01-06,Home,Premium Bundle,Shop App,paid,47,60,2880,172.8,1,2707.2
2025-01-07,Beauty,Starter Pack,Social,fulfilled,48,62,3348,133.92,2,3214.08
2025-01-08,Electronics,Seasonal Set,Wholesale,refunded,49,64,3840,192.0,3,3648.0
2025-01-09,Apparel,Everyday Kit,Online Store,paid,50,66,4356,261.36,0,4094.64
2025-01-10,Home,Premium Bundle,Shop App,paid,51,59,4248,169.92,1,4078.08
2025-01-11,Beauty,Starter Pack,Social,fulfilled,52,61,2928,146.4,2,2781.6
2025-01-12,Electronics,Seasonal Set,Wholesale,refunded,53,63,3402,204.12,3,3197.88
2025-01-13,Apparel,Everyday Kit,Online Store,paid,54,65,3900,156.0,0,3744.0
2025-01-14,Home,Premium Bundle,Shop App,paid,55,67,4422,221.1,1,4200.9
2025-01-15,Beauty,Starter Pack,Social,fulfilled,42,55,3960,237.6,2,3722.4
2025-01-16,Electronics,Seasonal Set,Wholesale,refunded,43,57,2736,109.44,3,2626.56
2025-01-17,Apparel,Everyday Kit,Online Store,paid,44,59,3186,159.3,0,3026.7
2025-01-18,Home,Premium Bundle,Shop App,paid,45,61,3660,219.6,1,3440.4
2025-01-19,Beauty,Starter Pack,Social,fulfilled,46,54,3564,142.56,2,3421.44
2025-01-20,Electronics,Seasonal Set,Wholesale,refunded,47,56,4032,201.6,3,3830.4
2025-01-21,Apparel,Everyday Kit,Online Store,paid,48,58,2784,167.04,0,2616.96
2025-01-22,Home,Premium Bundle,Shop App,paid,49,60,3240,129.6,1,3110.4
2025-01-23,Beauty,Starter Pack,Social,fulfilled,50,62,3720,186.0,2,3534.0
2025-01-24,Electronics,Seasonal Set,Wholesale,refunded,51,64,4224,253.44,3,3970.56
2025-01-25,Apparel,Everyday Kit,Online Store,paid,52,66,4752,190.08,0,4561.92
2025-01-26,Home,Premium Bundle,Shop App,paid,54,69,3312,165.6,1,3146.4
