date,customer_segment,product,payment_status,charges,refunds,gross_revenue,stripe_fees,net_revenue,active_subscriptions,failed_payments
2025-01-01,SMB,Core,succeeded,26,1,3770,117.13,3652.87,310,0
2025-01-02,Mid-market,Analytics,succeeded,27,2,4401,135.73,4265.27,320,1
2025-01-03,Enterprise,Automation,succeeded,28,3,5068,155.37,4912.63,330,2
2025-01-04,Startup,Advisory,refunded,29,1,5771,176.06,5594.94,340,3
2025-01-05,SMB,Core,succeeded,30,2,6510,197.79,6312.21,350,4
2025-01-06,Mid-market,Analytics,succeeded,31,3,7285,220.57,7064.43,360,0
2025-01-07,Enterprise,Automation,succeeded,32,1,4640,144.16,4495.84,370,1
2025-01-08,Startup,Advisory,refunded,33,2,5379,165.89,5213.11,380,2
2025-01-09,SMB,Core,succeeded,34,3,6154,188.67,5965.33,390,3
2025-01-10,Mid-market,Analytics,succeeded,35,1,6965,212.49,6752.52,346,4
2025-01-11,Enterprise,Automation,succeeded,36,2,7812,237.35,7574.65,356,0
2025-01-12,Startup,Advisory,refunded,26,3,6110,184.99,5925.01,366,1
2025-01-13,SMB,Core,succeeded,27,1,3915,121.64,3793.37,376,2
2025-01-14,Mid-market,Analytics,succeeded,28,2,4564,140.76,4423.24,386,3
2025-01-15,Enterprise,Automation,succeeded,29,3,5249,160.92,5088.08,396,4
2025-01-16,Startup,Advisory,refunded,30,1,5970,182.13,5787.87,406,0
2025-01-17,SMB,Core,succeeded,31,2,6727,204.38,6522.62,416,1
2025-01-18,Mid-market,Analytics,succeeded,32,3,7520,227.68,7292.32,426,2
2025-01-19,Enterprise,Automation,succeeded,33,1,4785,148.67,4636.34,382,3
2025-01-20,Startup,Advisory,refunded,34,2,5542,170.92,5371.08,392,4
2025-01-21,SMB,Core,succeeded,35,3,6335,194.22,6140.78,402,0
2025-01-22,Mid-market,Analytics,succeeded,36,1,7164,218.56,6945.44,412,1
2025-01-23,Enterprise,Automation,succeeded,26,2,5642,171.42,5470.58,422,2
2025-01-24,Startup,Advisory,refunded,27,3,6345,192.1,6152.89,432,3
2025-01-25,SMB,Core,succeeded,28,1,4060,126.14,3933.86,442,4
2025-01-26,Mid-market,Analytics,succeeded,29,2,4727,145.78,4581.22,452,0
2025-01-27,Enterprise,Automation,succeeded,30,3,5430,166.47,5263.53,462,1
2025-01-28,Startup,Advisory,refunded,31,1,6169,188.2,5980.8,418,2
2025-01-29,SMB,Core,succeeded,32,2,6944,210.98,6733.02,428,3
2025-01-30,Mid-market,Analytics,succeeded,33,3,7755,234.8,7520.2,438,4
2025-01-31,Enterprise,Automation,succeeded,34,1,4930,153.17,4776.83,448,0
2025-02-01,Startup,Advisory,refunded,35,2,5705,175.95,5529.06,458,1
2025-02-02,SMB,Core,succeeded,36,3,6516,199.76,6316.24,468,2
2025-02-03,Mid-market,Analytics,succeeded,26,1,5174,157.85,5016.15,478,3
2025-02-04,Enterprise,Automation,succeeded,27,2,5859,178.01,5680.99,488,4
2025-02-05,Startup,Advisory,refunded,28,3,6580,199.22,6380.78,498,0
2025-02-06,SMB,Core,succeeded,29,1,4205,130.65,4074.36,454,1
2025-02-07,Mid-market,Analytics,succeeded,30,2,4890,150.81,4739.19,464,2
2025-02-08,Enterprise,Automation,succeeded,31,3,5611,172.02,5438.98,474,3
2025-02-09,Startup,Advisory,refunded,32,1,6368,194.27,6173.73,484,4
2025-02-10,SMB,Core,succeeded,33,2,7161,217.57,6943.43,494,0
2025-02-11,Mid-market,Analytics,succeeded,34,3,7990,241.91,7748.09,504,1
2025-02-12,Enterprise,Automation,succeeded,35,1,5075,157.68,4917.32,514,2
2025-02-13,Startup,Advisory,refunded,36,2,5868,180.97,5687.03,524,3
2025-02-14,SMB,Core,succeeded,26,3,4706,144.27,4561.73,534,4
2025-02-15,Mid-market,Analytics,succeeded,27,1,5373,163.92,5209.08,490,0
2025-02-16,Enterprise,Automation,succeeded,28,2,6076,184.6,5891.4,500,1
2025-02-17,Startup,Advisory,refunded,29,3,6815,206.34,6608.66,510,2
2025-02-18,SMB,Core,succeeded,30,1,4350,135.15,4214.85,520,3
2025-02-19,Mid-market,Analytics,succeeded,31,2,5053,155.84,4897.16,530,4
2025-02-20,Enterprise,Automation,succeeded,32,3,5792,177.57,5614.43,540,0
2025-02-21,Startup,Advisory,refunded,33,1,6567,200.34,6366.66,550,1
2025-02-22,SMB,Core,succeeded,34,2,7378,224.16,7153.84,560,2
2025-02-23,Mid-market,Analytics,succeeded,35,3,8225,249.03,7975.98,570,3
2025-02-24,Enterprise,Automation,succeeded,36,1,5220,162.18,5057.82,526,4
2025-02-25,Startup,Advisory,refunded,26,2,4238,130.7,4107.3,536,0
2025-02-26,SMB,Core,succeeded,27,3,4887,149.82,4737.18,546,1
2025-02-27,Mid-market,Analytics,succeeded,28,1,5572,169.99,5402.01,556,2
2025-02-28,Enterprise,Automation,succeeded,29,2,6293,191.2,6101.8,566,3
2025-03-01,Startup,Advisory,refunded,30,3,7050,213.45,6836.55,576,4
2025-03-02,SMB,Core,succeeded,31,1,4495,139.66,4355.35,586,0
2025-03-03,Mid-market,Analytics,succeeded,32,2,5216,160.86,5055.14,596,1
2025-03-04,Enterprise,Automation,succeeded,33,3,5973,183.12,5789.88,606,2
2025-03-05,Startup,Advisory,refunded,34,1,6766,206.41,6559.59,562,3
