date,source,campaign,deal_stage,lifecycle_stage,region,contacts,new_contacts,marketing_qualified_leads,sales_qualified_leads,open_deals,deals_won,pipeline_value_usd,revenue_usd,marketing_spend_usd,email_open_rate,lead_to_customer_rate
2025-01-01,Organic Search,Q1 Demand Generation,Prospecting,Sales Qualified Lead,North America,220,35,12,5,12,1,21600,1500,650,0.2400,0.0286
2025-01-02,Paid Search,Q1 Demand Generation,Qualified,Opportunity,North America,257,46,17,8,19,1,42427,1637,733,0.2580,0.0217
2025-01-03,Paid Social,Q1 Demand Generation,Proposal Sent,Customer,North America,294,58,23,11,26,1,69316,1774,816,0.2760,0.0172
2025-01-04,Email,Q1 Demand Generation,Negotiation,Lead,North America,331,71,29,15,33,2,102267,3822,899,0.2940,0.0282
2025-01-05,Partner Referral,Q1 Demand Generation,Closed Won,Marketing Qualified Lead,United Kingdom,368,85,37,16,40,3,141280,6144,982,0.3120,0.0353
2025-01-06,Organic Search,Spring Product Launch,Prospecting,Sales Qualified Lead,United Kingdom,405,65,22,10,15,2,59475,4370,1065,0.3300,0.0308
2025-01-07,Paid Search,Spring Product Launch,Qualified,Opportunity,United Kingdom,442,79,29,14,22,1,96756,2322,1148,0.3480,0.0127
2025-01-08,Paid Social,Spring Product Launch,Negotiation,Customer,United Kingdom,479,94,37,19,29,2,140099,4918,1231,0.3660,0.0213
2025-01-09,Email,Spring Product Launch,Closed Won,Lead,Western Europe,236,51,21,9,36,1,74304,2596,1314,0.2400,0.0196
2025-01-10,Partner Referral,Spring Product Launch,Prospecting,Marketing Qualified Lead,Western Europe,273,63,28,13,43,2,107371,5466,1397,0.2580,0.0317
2025-01-11,Organic Search,Customer Webinar,Qualified,Sales Qualified Lead,Western Europe,310,50,17,8,18,1,52740,2870,1480,0.2760,0.0200
2025-01-12,Paid Search,Customer Webinar,Proposal Sent,Opportunity,Western Europe,347,62,23,12,25,2,84075,6014,1563,0.2940,0.0323
2025-01-13,Paid Social,Customer Webinar,Negotiation,Customer,Australia,384,75,29,12,32,1,121472,3144,1646,0.3120,0.0133
2025-01-14,Email,Customer Webinar,Closed Won,Lead,Australia,421,90,37,17,39,2,164931,6562,1729,0.3300,0.0222
2025-01-15,Partner Referral,Customer Webinar,Qualified,Marketing Qualified Lead,Australia,458,106,47,23,14,3,65268,10254,1812,0.3480,0.0283
2025-01-16,Organic Search,Partner Referral,Proposal Sent,Sales Qualified Lead,Australia,495,79,27,14,21,2,39795,7110,1895,0.3660,0.0253
2025-01-17,Paid Search,Partner Referral,Negotiation,Opportunity,North America,252,45,16,7,28,1,65184,3692,728,0.2400,0.0222
2025-01-18,Paid Social,Partner Referral,Closed Won,Customer,North America,289,57,22,10,35,2,96635,7658,811,0.2580,0.0351
2025-01-19,Email,Partner Referral,Prospecting,Lead,North America,326,70,29,14,42,1,134148,3966,894,0.2760,0.0143
2025-01-20,Partner Referral,Partner Referral,Qualified,Marketing Qualified Lead,North America,363,84,37,19,17,2,61659,3006,977,0.2940,0.0238
2025-01-21,Organic Search,Lifecycle Nurture,Proposal Sent,Sales Qualified Lead,United Kingdom,415,66,22,9,24,1,97440,1640,1060,0.3120,0.0152
2025-01-22,Paid Search,Lifecycle Nurture,Closed Won,Opportunity,United Kingdom,452,80,29,13,31,2,139283,3554,1143,0.3300,0.0250
2025-01-23,Paid Social,Lifecycle Nurture,Prospecting,Customer,United Kingdom,489,96,37,18,38,3,187188,5742,1226,0.3480,0.0313
2025-01-24,Email,Lifecycle Nurture,Qualified,Lead,United Kingdom,246,53,22,11,13,2,28067,4102,1309,0.3660,0.0377
2025-01-25,Partner Referral,Lifecycle Nurture,Proposal Sent,Marketing Qualified Lead,Western Europe,283,66,29,12,20,1,51840,2188,1392,0.2400,0.0152
2025-01-26,Organic Search,Q1 Demand Generation,Negotiation,Sales Qualified Lead,Western Europe,320,51,17,8,27,1,81675,2325,1475,0.2640,0.0196
2025-01-27,Paid Search,Q1 Demand Generation,Closed Won,Opportunity,Western Europe,357,64,23,11,34,1,117572,2462,1558,0.2820,0.0156
2025-01-28,Paid Social,Q1 Demand Generation,Prospecting,Customer,Western Europe,394,77,30,15,41,2,159531,5198,1641,0.3000,0.0260
2025-01-29,Email,Q1 Demand Generation,Proposal Sent,Lead,Australia,431,92,38,16,16,3,69184,8208,1724,0.3180,0.0326
2025-01-30,Partner Referral,Q1 Demand Generation,Negotiation,Marketing Qualified Lead,Australia,468,109,48,22,23,4,109411,11492,1807,0.3360,0.0367
2025-01-31,Organic Search,Spring Product Launch,Closed Won,Sales Qualified Lead,Australia,505,81,28,13,30,1,59700,3010,1890,0.3540,0.0123
2025-02-01,Paid Search,Spring Product Launch,Prospecting,Opportunity,Australia,262,47,17,9,37,1,89651,3147,723,0.3720,0.0213
2025-02-02,Paid Social,Spring Product Launch,Qualified,Customer,North America,299,59,23,10,12,1,34272,3284,806,0.2460,0.0169
2025-02-03,Email,Spring Product Launch,Proposal Sent,Lead,North America,336,72,30,13,19,2,62491,6842,889,0.2640,0.0278
2025-02-04,Partner Referral,Spring Product Launch,Negotiation,Marketing Qualified Lead,North America,373,87,38,18,26,3,96772,10674,972,0.2820,0.0345
2025-02-05,Organic Search,Customer Webinar,Prospecting,Sales Qualified Lead,North America,410,66,22,11,33,2,137115,7390,1055,0.3000,0.0303
2025-02-06,Paid Search,Customer Webinar,Qualified,Opportunity,United Kingdom,447,80,29,12,40,1,183520,3832,1138,0.3180,0.0125
2025-02-07,Paid Social,Customer Webinar,Proposal Sent,Customer,United Kingdom,484,95,37,17,15,2,27315,7938,1221,0.3360,0.0211
2025-02-08,Email,Customer Webinar,Negotiation,Lead,United Kingdom,241,52,22,11,22,1,49588,1506,1304,0.3540,0.0192
2025-02-09,Partner Referral,Customer Webinar,Closed Won,Marketing Qualified Lead,United Kingdom,278,64,28,14,29,2,77923,3286,1387,0.3720,0.0313
