date,campaign,channel,region,audience_segment,impressions,clicks,leads,conversions,spend_usd,revenue_usd,roas
2025-01-01,Spring Launch,Paid Search,North America,SMB,20739,1431,394,91,426,12922,30.33
2025-01-02,Customer Retention,Paid Social,Western Europe,Mid-Market,17445,733,158,30,490,4770,9.73
2025-01-03,Product Education,Email,Southeast Asia,Enterprise,11808,1322,483,155,441,34720,78.73
2025-01-04,Webinar Nurture,Display,United Kingdom,Returning Customers,16542,447,78,10,581,1930,3.32
2025-01-05,Demand Generation,Organic Social,Australia,SMB,11129,668,157,33,313,6930,22.14
2025-01-06,Brand Awareness,Affiliate,North America,Mid-Market,21660,1018,270,76,784,17252,22.01
2025-01-07,Spring Launch,Paid Search,Western Europe,Enterprise,30743,2152,635,146,1414,42632,30.15
2025-01-08,Customer Retention,Paid Social,Southeast Asia,Returning Customers,25303,1088,256,49,1058,7644,7.22
2025-01-09,Product Education,Email,United Kingdom,SMB,16799,1898,655,210,548,36330,66.30
2025-01-10,Webinar Nurture,Display,Australia,Mid-Market,23131,648,100,13,342,2470,7.22
2025-01-11,Demand Generation,Organic Social,United Kingdom,Enterprise,15320,858,219,46,317,11730,37.00
2025-01-12,Brand Awareness,Affiliate,Australia,Returning Customers,29401,1411,402,113,595,25312,42.54
2025-01-13,Spring Launch,Paid Search,North America,SMB,41198,2925,804,185,692,44585,64.43
2025-01-14,Customer Retention,Paid Social,Western Europe,Mid-Market,33513,1475,317,60,744,9180,12.34
2025-01-15,Webinar Nurture,Email,Southeast Asia,Enterprise,22012,2509,916,293,637,63874,100.27
2025-01-16,Demand Generation,Display,United Kingdom,Returning Customers,30010,720,126,16,807,2992,3.71
2025-01-17,Brand Awareness,Organic Social,Australia,SMB,9256,528,124,26,422,5304,12.57
2025-01-18,Spring Launch,Affiliate,North America,Mid-Market,18267,895,237,66,1027,14586,14.20
2025-01-19,Customer Retention,Paid Search,Western Europe,Enterprise,26245,1890,558,128,660,36608,55.47
2025-01-20,Product Education,Paid Social,Southeast Asia,Returning Customers,21837,983,231,44,541,6600,12.20
2025-01-21,Webinar Nurture,Email,Western Europe,SMB,14640,1610,555,178,301,29726,98.76
2025-01-22,Demand Generation,Display,Southeast Asia,Enterprise,20336,508,79,10,552,2320,4.20
2025-01-23,Brand Awareness,Organic Social,United Kingdom,Returning Customers,13576,787,201,42,479,8442,17.62
2025-01-24,Spring Launch,Affiliate,Australia,SMB,26243,1312,374,105,856,22890,26.74
